type,pkg,cls,member,name,notes,verified,removal_reason
method,a.a.a,i,aG,do_aG,"""[Phase3-method] returns void""",suspicious-bc-missing,占位名垃圾 (do_*/get_+字母/类型+数字/描述句)
method,com.corrodinggames.rts.game.a,a,cz(),selectBuilder,Select best builder unit,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,D,defendTarget,Defense/priority target UnitInstance (public am),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,E,combatState,Combat behavior state enum (ao.a=default),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,d,splashDamage,Splash damage multiplier,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,e,rangeAttack,Attack range,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,f,minimumRange,Minimum attack range,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,g,reloadTime,Weapon reload time,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,h,projectileSpeed,Projectile speed,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,i,targetCount,Target/objective count (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,j,maxTargetCount,Maximum target count (int),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,s,awaitingReinforcements,Awaiting reinforcements before attacking flag,suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,u,stagingProgress,Staging/gathering progress timer (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.a,b,x,engageDistance,Distance to engage target (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,b,b,valueX,Keyframe X value (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,b,c,valueY,Keyframe Y value (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aK,overrideWeaponStats,Override weapon stats flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aL,globalDamageMultiplier,Global damage multiplier (float),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aM,globalHPMultiplier,Global HP multiplier flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aN,globalSpeedMultiplier,Global speed multiplier flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aO,globalBuildSpeedMultiplier,Global build speed multiplier flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aP,globalRangeMultiplier,Global range multiplier flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aQ,globalResourceMultiplier,Global resource multiplier flag (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aR,enableCustomAI,Enable custom AI scripts (boolean),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
field,com.corrodinggames.rts.game.units.custom,bn,aS,customUnitFilter,Custom unit filter (h),suspicious-bc-missing,死映射 (javap member-missing + 03 名缺失)
